codigo,descricao,prod_url
T73133BR-4-TT,ACAB VALV TERMOST COMPOSED ALAV TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73133BR-4.png
T73135BR-3-TT,ACAB VALV CONTR VOL CRUZ COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73135BR-3.png
T73135BR-4-CP,ACAB VALV CONTR VOL ALAV COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73135BR-4.png
T73135BR-4-TT,ACAB VALV CONTR VOL ALAV COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73135BR-4.png
T73135BR-4-BL,ACAB VALV CONTR VOL ALAV COMPOSED BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73135BR-4.png
T73140BR-3-TT,ACAB VALV DESV CHUV CRUZ COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73140BR-3.png
T73140BR-4-CP,ACAB VALV DESV CHUV ALAV COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73140BR-4.png
T73140BR-4-TT,ACAB VALV DESV CHUV ALAV COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73140BR-4.png
T73140BR-4-BL,ACAB VALV DESV CHUV ALAV COMPOSED BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73140BR-4.png
T97044BR-3-CP,ACAB REG GAV/PRES CRUZ COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97044BR-3.png
T97044BR-3-TT,ACAB REG GAV CRUZ COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97044BR-3.png
T97045BR-3-CP,ACAB MIST CHUV CRUZ COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97045BR-3.png
73081BR-3-CP,MIST BANH CRUZ COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73081BR-3.png
73146BR-TT,CABIDE COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73146BR.png
97345BR-4ND-BN,MIST MON LAV BICA BX AVID BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97345BR-4ND.png
